,,,mean,std,nd
23484201_back,20220712_060000,0,0.45071273344093293,0.5084958943442305,17995.0
23484201_back,20220712_060000,1,0.19463565108580805,0.21707228461720599,17994.0
23484201_back,20220712_060000,2,0.4117633577679769,0.4643093221500498,17990.0
23484201_back,20220712_060000,3,0.3530456520452388,0.45704727869418976,17992.0
23484201_back,20220712_060000,4,0.1773419524010065,0.24742440855054784,17989.0
23484201_back,20220712_060000,5,0.2132199635221343,0.31147133173079866,17992.0
23484201_back,20220712_060000,6,0.13391702897209556,0.2593458175033963,17976.0
23484201_back,20220712_060000,7,0.052535396425195356,0.07799101472791589,17972.0
23484201_back,20220712_060000,8,0.1707718712143181,0.38446086396473494,5973.0
23484201_back,20220713_060000,0,0.509836779603204,0.6148736951853782,17993.0
23484201_back,20220713_060000,1,0.4994493862023747,0.5921400045987036,17993.0
23484201_back,20220713_060000,2,0.48652156813832875,0.6027524769825674,17992.0
23484201_back,20220713_060000,3,0.10728774470173351,0.1804836617330864,17980.0
23484201_back,20220713_060000,4,0.15478802933307337,0.21950297355646645,17994.0
23484201_back,20220713_060000,5,0.21076680176910484,0.2916916741513962,17995.0
23484201_back,20220713_060000,6,0.188940196215887,0.3728207341084461,17976.0
23484201_back,20220713_060000,7,0.1758076792655228,0.24189143109595332,17989.0
23484201_back,20220713_060000,8,0.2058780112231312,0.3939013521587774,5978.0
23484201_back,20220714_060000,0,0.2770800343052102,0.3951443998713173,17998.0
23484201_back,20220714_060000,1,0.10293780066396385,0.22322168743706572,17788.0
23484201_back,20220714_060000,2,0.09238678766438119,0.20178542701434665,17928.0
23484201_back,20220714_060000,3,0.0880126221697153,0.20877878547199552,17786.0
23484201_back,20220714_060000,4,0.07145699392584084,0.14205486622535446,17972.0
23484201_back,20220714_060000,5,0.11528251569957082,0.20486192112763862,17972.0
23484201_back,20220714_060000,6,0.08409232065270812,0.24794132924739343,17686.0
23484201_back,20220714_060000,7,0.12821508062306672,0.2198846014049121,17986.0
23484201_back,20220714_060000,8,0.08672413583010176,0.26527989755107645,5971.0
23484201_back,20220715_060000,0,0.17442771012435818,0.2233964562616041,17998.0
23484201_back,20220715_060000,1,0.1613778262118612,0.2274043387200555,17971.0
23484201_back,20220715_060000,2,0.16569239639561392,0.24143389260430267,17964.0
23484201_back,20220715_060000,3,0.15990946429624384,0.2190134116286233,17994.0
23484201_back,20220715_060000,4,0.09028611623543042,0.19004989060298944,17985.0
23484201_back,20220715_060000,5,0.11237313471016436,0.20484946155802805,17952.0
23484201_back,20220715_060000,6,0.07374634242700663,0.21981090689315494,16849.0
23484201_back,20220715_060000,7,0.14470536303303153,0.3039720976738578,17989.0
23484201_back,20220715_060000,8,0.11960339568917673,0.3259033285866845,5978.0
23484201_back,20220716_060000,0,0.22654980171180578,0.3057814663099773,17998.0
23484201_back,20220716_060000,1,0.15559271794737173,0.2163148939381927,17980.0
23484201_back,20220716_060000,2,0.1177886748670604,0.21344580422462212,17994.0
23484201_back,20220716_060000,3,0.11619170469240496,0.248091318456995,17984.0
23484201_back,20220716_060000,4,0.16182548565154914,0.27780424181618585,17985.0
23484201_back,20220716_060000,5,0.13283755432801853,0.23223635598896838,17995.0
23484201_back,20220716_060000,6,0.1707936554423455,0.3503707980117445,17677.0
23484201_back,20220716_060000,7,0.12611091711438513,0.23950697537161927,17993.0
23484201_back,20220716_060000,8,0.12212769331123005,0.27821111199582516,5978.0
23484201_back,20220717_060000,0,0.23028362977433506,0.40494273792537683,17998.0
23484201_back,20220717_060000,1,0.11186116092050062,0.22365588149555563,17979.0
23484201_back,20220717_060000,2,0.10662840906583872,0.25829199649304324,17994.0
23484201_back,20220717_060000,3,0.1462392191636753,0.20046673865408174,17993.0
23484201_back,20220717_060000,4,0.14696443333769305,0.27956543376023985,17916.0
23484201_back,20220717_060000,5,0.06654171958221977,0.18874620898459582,17824.0
23484201_back,20220717_060000,6,0.1553521277180497,0.41078870976158904,17941.0
23484201_back,20220717_060000,7,0.1657450150865627,0.34417707560107647,17994.0
23484201_back,20220717_060000,8,0.13184427788518743,0.32234581350671027,5977.0
23484201_back,20220718_060000,0,0.17838887316220395,0.42978160195306797,17994.0
23484201_back,20220718_060000,1,0.16294959886385219,0.4438764226108222,17909.0
23484201_back,20220718_060000,2,0.2943042811226219,0.5474881147306878,17966.0
23484201_back,20220718_060000,3,0.16594769789672345,0.415715148164586,17977.0
23484201_back,20220718_060000,4,0.11430218285477567,0.21747909741431654,17993.0
23484201_back,20220718_060000,5,0.07439771518016551,0.19410397797811507,17982.0
23484201_back,20220718_060000,6,0.08648754176068287,0.24558690869470262,17966.0
23484201_back,20220718_060000,7,0.07127099788222012,0.13126856038598572,17984.0
23484201_back,20220718_060000,8,0.09719765700463238,0.19644680151956054,5981.0
23484201_back,20220719_060000,0,0.19795033347587807,0.5710414484341367,17452.0
23484201_back,20220719_060000,1,0.18060512493691636,0.5399947494463074,17957.0
23484201_back,20220719_060000,2,0.18410937377539144,0.3333825960384808,17992.0
23484201_back,20220719_060000,3,0.1360572172478123,0.17049883365279372,17970.0
23484201_back,20220719_060000,4,0.0725899473901261,0.15245713477363898,17982.0
23484201_back,20220719_060000,5,0.10843573046311393,0.21043976744184048,17995.0
23484201_back,20220719_060000,6,0.11628447755049494,0.2569773054433763,17921.0
23484201_back,20220719_060000,7,0.14204632474726225,0.36151293903938736,17979.0
23484201_back,20220719_060000,8,0.17328918010092112,0.41695008015280016,5954.0
23484201_back,20220720_060000,0,0.3236119435774691,0.5504042591486652,17993.0
23484201_back,20220720_060000,1,0.12568751674153347,0.25422165049334045,17880.0
23484201_back,20220720_060000,2,0.11768279035813102,0.20225214584243983,17974.0
23484201_back,20220720_060000,3,0.12284777840891639,0.20070768835245661,17959.0
23484201_back,20220720_060000,4,0.20261265399269682,0.35562598437084963,17644.0
23484201_back,20220720_060000,5,0.11278558805159454,0.26328254644041965,17990.0
23484201_back,20220720_060000,6,0.17022350898642985,0.32030116607266507,17903.0
23484201_back,20220720_060000,7,0.12578240219926154,0.2391328764218145,17989.0
23484201_back,20220720_060000,8,0.14570572517458635,0.2838309178187534,5979.0
23484201_back,20220721_060000,0,0.34086199347619495,0.5536854805087136,17989.0
23484201_back,20220721_060000,1,0.24185728116520128,0.38157080707165375,17991.0
23484201_back,20220721_060000,2,0.2042306058529969,0.31429609339960757,17935.0
23484201_back,20220721_060000,3,0.16619686296704478,0.2877675078260483,17989.0
23484201_back,20220721_060000,4,0.11240185934167635,0.19237280438996193,17982.0
23484201_back,20220721_060000,5,0.16582443272740438,0.2726507371850892,17995.0
23484201_back,20220721_060000,6,0.14232737266972498,0.2592014152829453,17806.0
23484201_back,20220721_060000,7,0.13992993749491434,0.22304463431580585,17991.0
23484201_back,20220721_060000,8,0.13243497801070803,0.35826467767301395,5967.0
23484201_back,20220722_060000,0,0.5036232465974891,0.7377218588073018,17997.0
23484201_back,20220722_060000,1,0.1954109680991456,0.2843415707671927,17980.0
23484201_back,20220722_060000,2,0.1249126388898936,0.13711827594753817,17994.0
23484201_back,20220722_060000,3,0.13415268879859907,0.22755957226721654,17965.0
23484201_back,20220722_060000,4,0.13723031132677896,0.2033335995526867,17988.0
23484201_back,20220722_060000,5,0.1664821212149801,0.2786933808341816,17849.0
23484201_back,20220722_060000,6,0.13224231355696214,0.25827864175119564,17947.0
23484201_back,20220722_060000,7,0.1294899967714126,0.17502564833241613,17977.0
23484201_back,20220722_060000,8,0.12257318038271335,0.15740017096697198,5980.0
23484201_back,20220723_060000,0,0.3734500713776305,0.6764104770865578,17992.0
23484201_back,20220723_060000,1,0.16763735703949725,0.20715416613717078,17994.0
23484201_back,20220723_060000,2,0.18692205320076924,0.2981947769615334,17962.0
23484201_back,20220723_060000,3,0.18313400803561392,0.3322117948100688,17992.0
23484201_back,20220723_060000,4,0.15355311027920518,0.27612764896373043,17991.0
23484201_back,20220723_060000,5,0.13625745455045749,0.25916783910436547,17995.0
23484201_back,20220723_060000,6,0.17049651981414535,0.380234805573532,17794.0
23484201_back,20220723_060000,7,0.16931512100362897,0.3530822737116501,17552.0
23484201_back,20220723_060000,8,0.18028975974723901,0.388073627769425,5974.0
23484201_back,20220724_060000,0,0.3706699068418115,0.7568555813102718,17984.0
23484201_back,20220724_060000,1,0.18219143433173102,0.2680407904856512,17991.0
23484201_back,20220724_060000,2,0.20990703828636534,0.40457883152426893,17989.0
23484201_back,20220724_060000,3,0.1839852607065806,0.39408110712892996,17963.0
23484201_back,20220724_060000,4,0.11850830882329687,0.17106153209555194,17994.0
23484201_back,20220724_060000,5,0.10364535222926823,0.08692022867218262,17996.0
23484201_back,20220724_060000,6,0.11404302879329616,0.1865263711379758,17989.0
23484201_back,20220724_060000,7,0.1134590674394232,0.23518418890474807,17948.0
23484201_back,20220724_060000,8,0.11605985892205817,0.23385282867820742,5981.0
23484201_back,20220725_060000,0,0.30737720323607426,0.715782436770862,17972.0
23484201_back,20220725_060000,1,0.16811499783608203,0.2612939087088541,17989.0
23484201_back,20220725_060000,2,0.11862151717064118,0.17549565542149922,17993.0
23484201_back,20220725_060000,3,0.1281839419247434,0.3032494418471892,17980.0
23484201_back,20220725_060000,4,0.08904782748116215,0.2673302522611274,17990.0
23484201_back,20220725_060000,5,0.1573025085007789,0.366359441370325,17991.0
23484201_back,20220725_060000,6,0.1502969569142062,0.35596844387546106,17984.0
23484201_back,20220725_060000,7,0.11553467516259198,0.2835858204554459,17984.0
23484201_back,20220725_060000,8,0.09805513453107415,0.2817448449201284,5982.0
23484201_back,20220726_060000,0,0.8032035232945051,0.818472129490713,17996.0
23484201_back,20220726_060000,1,0.39377721252810965,0.5049026156966724,17991.0
23484201_back,20220726_060000,2,0.22698601198204435,0.34774129808218546,17977.0
23484201_back,20220726_060000,3,0.32719725504537234,0.48296619838871524,17987.0
23484201_back,20220726_060000,4,0.23529615791909933,0.3572567059740824,17990.0
23484201_back,20220726_060000,5,0.22376622289789416,0.3759574925474596,17997.0
23484201_back,20220726_060000,6,0.24017025569752634,0.4409140144877673,17987.0
23484201_back,20220726_060000,7,0.1561638943739338,0.3382953593549748,17991.0
23484201_back,20220726_060000,8,0.20391218191732624,0.3261066895109459,5979.0
23484201_back,20220727_060000,0,0.47112797230301257,0.6382477079552217,17988.0
23484201_back,20220727_060000,1,0.24042888410359092,0.3685401961128978,17991.0
23484201_back,20220727_060000,2,0.22483239267172306,0.3333463470061867,17986.0
23484201_back,20220727_060000,3,0.26784032342782144,0.4640400285659823,17982.0
23484201_back,20220727_060000,4,0.24453191518132159,0.38532663583853133,17985.0
23484201_back,20220727_060000,5,0.17020664307670924,0.22131592202971045,17995.0
23484201_back,20220727_060000,6,0.13950965905941132,0.2547283092268481,17994.0
23484201_back,20220727_060000,7,0.07896961015753451,0.21538247340836408,17959.0
23484201_back,20220727_060000,8,0.07385544267764976,0.2034596101890852,5981.0
23484204_back,20220712_060000,0,0.33227440790564944,0.484456909075863,17995.0
23484204_back,20220712_060000,1,0.13568104086435503,0.2404961920879506,17988.0
23484204_back,20220712_060000,2,0.11455074749305934,0.256785946061813,17980.0
23484204_back,20220712_060000,3,0.10873188373142695,0.2748483824610622,17949.0
23484204_back,20220712_060000,4,0.12699295108905165,0.2505234644312941,17985.0
23484204_back,20220712_060000,5,0.10951407781665255,0.2404914222891106,15996.0
23484204_back,20220712_060000,6,0.10805950397923988,0.3416217688282642,16557.0
23484204_back,20220712_060000,7,0.082510069818192,0.23107042310002918,17462.0
23484204_back,20220712_060000,8,0.09494340158818751,0.3316024445466985,5977.0
23484204_back,20220713_060000,0,0.34846190533700816,0.4695623194352704,17995.0
23484204_back,20220713_060000,1,0.08607102382230086,0.21157595808655616,17991.0
23484204_back,20220713_060000,2,0.0858898997096869,0.23092150960584665,17952.0
23484204_back,20220713_060000,3,0.09525406014245982,0.23141484490585315,17816.0
23484204_back,20220713_060000,4,0.07440511615155296,0.19347993650596623,17987.0
23484204_back,20220713_060000,5,0.11373619889277908,0.2654001698758589,17997.0
23484204_back,20220713_060000,6,0.07730471738051371,0.3364335632580035,17629.0
23484204_back,20220713_060000,7,0.16386347281978278,0.46093792526321864,17992.0
23484204_back,20220713_060000,8,0.1351255660685032,0.3977772938799621,5975.0
23484204_back,20220714_060000,0,0.4567890631697667,0.6905559684429963,17959.0
23484204_back,20220714_060000,1,0.2980162978642389,0.5234255021480255,17982.0
23484204_back,20220714_060000,2,0.14088416727405007,0.35934237251881906,17934.0
23484204_back,20220714_060000,3,0.055063375050874594,0.26526260822407727,17952.0
23484204_back,20220714_060000,4,0.062488412481796055,0.1909655368077816,17983.0
23484204_back,20220714_060000,5,0.07995985478356799,0.271654343730875,17710.0
23484204_back,20220714_060000,6,0.1344297813001602,0.37949589720211996,17971.0
23484204_back,20220714_060000,7,0.1722649915557884,0.4309697968189602,17947.0
23484204_back,20220714_060000,8,0.09894507926238057,0.39281166563375114,5975.0
23484204_back,20220715_060000,0,0.24436880488313564,0.4969155516949253,17987.0
23484204_back,20220715_060000,1,0.1007936092878661,0.163243799692486,17993.0
23484204_back,20220715_060000,2,0.09028381173672044,0.28164723305393835,17903.0
23484204_back,20220715_060000,3,0.10260130808837395,0.2161052862340753,17946.0
23484204_back,20220715_060000,4,0.0917218305624976,0.19895768038453462,17989.0
23484204_back,20220715_060000,5,0.13419235097895185,0.21896867342357684,17997.0
23484204_back,20220715_060000,6,0.08848762434224057,0.28317813216712223,17977.0
23484204_back,20220715_060000,7,0.041409309538692714,0.15501101764880723,17853.0
23484204_back,20220715_060000,8,0.06853783718058527,0.3108732343958515,5980.0
23484204_back,20220716_060000,0,0.17529244051728443,0.37781198844922725,17991.0
23484204_back,20220716_060000,1,0.09807931250461131,0.20481711660480975,17916.0
23484204_back,20220716_060000,2,0.08736013510164788,0.17195843449100162,17974.0
23484204_back,20220716_060000,3,0.0805783141847501,0.2518725554097754,17822.0
23484204_back,20220716_060000,4,0.08540856457266773,0.1874318800633564,17984.0
23484204_back,20220716_060000,5,0.11196684056985656,0.2609169294952476,17976.0
23484204_back,20220716_060000,6,0.056461047690798634,0.2476110314624858,16431.0
23484204_back,20220716_060000,7,0.021918028743398033,0.13091929717764808,16665.0
23484204_back,20220716_060000,8,0.039863830736340596,0.30599414244713813,5976.0
23484204_back,20220717_060000,0,0.17173097960014772,0.39937212475870604,17998.0
23484204_back,20220717_060000,1,0.12288606782813169,0.24367563362953942,17991.0
23484204_back,20220717_060000,2,0.12152821104143113,0.2247146348772393,17993.0
23484204_back,20220717_060000,3,0.11323183445980083,0.17207352901072362,17993.0
23484204_back,20220717_060000,4,0.1259900726812412,0.22198005610800303,17985.0
23484204_back,20220717_060000,5,0.10562925282107878,0.20060934895815916,17995.0
23484204_back,20220717_060000,6,0.05680846666198234,0.3106943445832902,17648.0
23484204_back,20220717_060000,7,0.02848671912142088,0.23345786271291494,11103.0
23484204_back,20220717_060000,8,0.04129418271353184,0.2861679305804026,5979.0
23484204_back,20220718_060000,0,0.21323651873851754,0.5374624864199995,17990.0
23484204_back,20220718_060000,1,0.09282708079134605,0.15898996188007875,17986.0
23484204_back,20220718_060000,2,0.11519772142600218,0.21985990627714364,17993.0
23484204_back,20220718_060000,3,0.1004821823806893,0.20206821017927987,17993.0
23484204_back,20220718_060000,4,0.09948568353724165,0.26827051144811326,17986.0
23484204_back,20220718_060000,5,0.0909530653236359,0.24982996033243202,17869.0
23484204_back,20220718_060000,6,0.11217330799985867,0.3270101474016838,17970.0
23484204_back,20220718_060000,7,0.12395362899610811,0.284304007890797,17992.0
23484204_back,20220718_060000,8,0.07842967402666783,0.10046683266514524,5980.0
23484204_back,20220719_060000,0,0.16267626652869316,0.38898360974056106,17992.0
23484204_back,20220719_060000,1,0.022096958798025,0.14981958858059707,13959.0
23484204_back,20220719_060000,2,0.047236995834887344,0.20351649242713507,17965.0
23484204_back,20220719_060000,3,0.052281912121628006,0.20754064213752096,17945.0
23484204_back,20220719_060000,4,0.03625155287688778,0.17648780922339943,17989.0
23484204_back,20220719_060000,5,0.07071574196773987,0.21690118427444852,17524.0
23484204_back,20220719_060000,6,0.08808551075310149,0.3042238602185021,17198.0
23484204_back,20220719_060000,7,0.12446644655943787,0.287586764589398,17954.0
23484204_back,20220719_060000,8,0.0823988840662803,0.347417853161457,5979.0
23484204_back,20220720_060000,0,0.24693865793016376,0.530425455579112,17991.0
23484204_back,20220720_060000,1,0.10857564526203987,0.2671933745588424,17985.0
23484204_back,20220720_060000,2,0.13244051858087455,0.2892994969852258,17991.0
23484204_back,20220720_060000,3,0.07741027361852254,0.23317109848892073,17977.0
23484204_back,20220720_060000,4,0.11681815666807394,0.25621628453139245,17924.0
23484204_back,20220720_060000,5,0.10904546225806248,0.2295234625204051,17996.0
23484204_back,20220720_060000,6,0.12320230242093864,0.32708882914132864,16853.0
23484204_back,20220720_060000,7,0.0828017461394803,0.23319559507582815,17853.0
23484204_back,20220720_060000,8,0.13969967937978217,0.4644596169197263,5978.0
23484204_back,20220721_060000,0,0.3058454301141125,0.5774411635039974,17736.0
23484204_back,20220721_060000,1,0.0742329505302657,0.18277625159883135,17499.0
23484204_back,20220721_060000,2,0.10254899531481883,0.25163439373591134,17803.0
23484204_back,20220721_060000,3,0.07120584188122729,0.19994921734819535,17578.0
23484204_back,20220721_060000,4,0.05674866404554574,0.2688056269534008,17974.0
23484204_back,20220721_060000,5,0.043101570608606594,0.1819770745283543,17956.0
23484204_back,20220721_060000,6,0.12887397163885567,0.3176032090354748,17175.0
23484204_back,20220721_060000,7,0.12726838460712658,0.2996929704160529,17920.0
23484204_back,20220721_060000,8,0.1573424566905565,0.41954834272400193,5979.0
23484204_back,20220722_060000,0,0.1588696667618495,0.43928036730646985,17994.0
23484204_back,20220722_060000,1,0.05772804241055427,0.20379408451440373,17990.0
23484204_back,20220722_060000,2,0.10087297569015856,0.21444270393495438,17976.0
23484204_back,20220722_060000,3,0.04113940641062891,0.18279350782014142,17982.0
23484204_back,20220722_060000,4,0.14014687808742038,0.38577300827696215,17988.0
23484204_back,20220722_060000,5,0.09232902155017272,0.26383460938956493,17987.0
23484204_back,20220722_060000,6,0.10794221958903265,0.3558430226256183,17949.0
23484204_back,20220722_060000,7,0.14019906108925495,0.3338727003116545,17989.0
23484204_back,20220722_060000,8,0.1319374871252285,0.3783906922259304,5976.0
23484204_back,20220723_060000,0,0.3219302614403739,0.6570888002678517,17972.0
23484204_back,20220723_060000,1,0.1137007462538142,0.193883498326538,17982.0
23484204_back,20220723_060000,2,0.15391723754178413,0.3115375261496402,17994.0
23484204_back,20220723_060000,3,0.17093066239872756,0.29966775850196137,17990.0
23484204_back,20220723_060000,4,0.13261826624986062,0.24374016007286134,17981.0
23484204_back,20220723_060000,5,0.13182845882549632,0.23773224462702502,17996.0
23484204_back,20220723_060000,6,0.12052492333568665,0.26566730862704285,17985.0
23484204_back,20220723_060000,7,0.11208195066984483,0.2350488482546826,17991.0
23484204_back,20220723_060000,8,0.13681456814113935,0.30779111732570286,5975.0
23484204_back,20220724_060000,0,0.26742172583601476,0.5487205999810246,17996.0
23484204_back,20220724_060000,1,0.11008324315054033,0.21576532817517521,17985.0
23484204_back,20220724_060000,2,0.10292244661116715,0.2250183461790255,17994.0
23484204_back,20220724_060000,3,0.108358952167271,0.2949019866888531,17984.0
23484204_back,20220724_060000,4,0.11032214086383206,0.24517053965368737,17975.0
23484204_back,20220724_060000,5,0.11731288916401121,0.2671779450343165,17988.0
23484204_back,20220724_060000,6,0.07698521486932652,0.28693102583835745,17935.0
23484204_back,20220724_060000,7,0.03428995683991706,0.1876427026078579,17981.0
23484204_back,20220724_060000,8,0.05991848100451785,0.27442670248407885,5980.0
23484204_back,20220725_060000,0,0.11678610121176256,0.3056585101550514,17979.0
23484204_back,20220725_060000,1,0.10292429826628788,0.3508122184791945,17983.0
23484204_back,20220725_060000,2,0.08918721279398234,0.2702142100242304,17035.0
23484204_back,20220725_060000,3,0.10261492683266715,0.27624533402254664,17988.0
23484204_back,20220725_060000,4,0.09955674644236213,0.28737408339767856,17983.0
23484204_back,20220725_060000,5,0.061090195157440484,0.21348928729218125,17980.0
23484204_back,20220725_060000,6,0.03613796057446634,0.24023431991223215,17879.0
23484204_back,20220725_060000,7,0.04745807031680603,0.2595001170797256,17052.0
23484204_back,20220725_060000,8,0.03055427327766493,0.25461986189362484,5973.0
23484204_back,20220726_060000,0,0.055914875104962763,0.3148802567773034,17926.0
23484204_back,20220726_060000,1,0.005190945738707722,0.0446117306582563,17711.0
23484204_back,20220726_060000,2,0.01720420332928438,0.08349474077276939,17251.0
23484204_back,20220726_060000,3,0.0025615278628516214,0.033198348875565165,15956.0
23484204_back,20220726_060000,4,0.0025508193157468945,0.04479651006405112,17102.0
23484204_back,20220726_060000,5,0.004518452969371444,0.07144903097224915,15441.0
23484204_back,20220726_060000,6,0.051543228748322366,0.24714780755161173,16010.0
23484204_back,20220726_060000,7,0.04152957313368124,0.12095496019244069,17958.0
23484204_back,20220726_060000,8,0.028067591326742605,0.2534257484679008,5974.0
23484204_back,20220727_060000,0,0.051526214677476576,0.2806540205190952,17834.0
23484204_back,20220727_060000,1,0.0022920284064358145,0.04008853197809528,10836.0
23484204_back,20220727_060000,2,0.024804802169006615,0.18597949654992088,16956.0
23484204_back,20220727_060000,3,0.0016688485793442983,0.025388124966751708,5990.0
23484204_back,20220727_060000,4,0.060543255787835,0.261308160650996,14650.0
23484204_back,20220727_060000,5,0.05660392549267622,0.17748381539890695,17989.0
23484204_back,20220727_060000,6,0.0821726161930079,0.20326203921696823,13935.0
23484204_back,20220727_060000,7,0.11072393116239336,0.14071794971921012,17888.0
23484204_back,20220727_060000,8,0.10910990661002128,0.1270905346781009,5981.0
